Size,ArrayType,Algorithm,TimeMs,Comparisons
2100,Reverse_Sorted,TernaryQuickSort,0.1032,83262
2100,Reverse_Sorted,StringMergeSort,1.1628,40731
2100,Reverse_Sorted,MSDRadix,0.1938,0
2100,Reverse_Sorted,MSDRadix_Fallback,0.0680,33370
2100,Nearly_Sorted,MergeSort,1.1935,27307
2100,Nearly_Sorted,QuickSort,0.1953,94370
2100,Nearly_Sorted,TernaryQuickSort,0.1057,104693
2100,Nearly_Sorted,StringMergeSort,1.1994,65361
2100,Nearly_Sorted,MSDRadix,0.1886,0
2100,Nearly_Sorted,MSDRadix_Fallback,0.0461,19869
2100,Common_Prefix,MergeSort,1.4381,315433
2100,Common_Prefix,QuickSort,0.2892,410254
2100,Common_Prefix,TernaryQuickSort,0.1279,92863
2100,Common_Prefix,StringMergeSort,1.4454,355895
2100,Common_Prefix,MSDRadix,0.2961,0
2100,Common_Prefix,MSDRadix_Fallback,0.2130,12672
2200,Random,MergeSort,1.3541,30539
2200,Random,QuickSort,0.1777,37064
2200,Random,TernaryQuickSort,0.1055,39359
2200,Random,StringMergeSort,1.4025,73897
2200,Random,MSDRadix,0.1794,0
2200,Random,MSDRadix_Fallback,0.0539,13639
2200,Reverse_Sorted,MergeSort,1.1961,18558
2200,Reverse_Sorted,QuickSort,3.1981,2462949
2200,Reverse_Sorted,TernaryQuickSort,0.1151,90753
2200,Reverse_Sorted,StringMergeSort,1.2310,42438
2200,Reverse_Sorted,MSDRadix,0.2035,0
2200,Reverse_Sorted,MSDRadix_Fallback,0.0688,35039
2200,Nearly_Sorted,MergeSort,1.2278,28937
2200,Nearly_Sorted,QuickSort,0.2016,103876
2200,Nearly_Sorted,TernaryQuickSort,0.1100,108460
2200,Nearly_Sorted,StringMergeSort,1.2776,69283
2200,Nearly_Sorted,MSDRadix,0.2016,0
2200,Nearly_Sorted,MSDRadix_Fallback,0.0483,20888
2200,Common_Prefix,MergeSort,1.5218,334027
2200,Common_Prefix,QuickSort,0.2966,417215
